reward_today,future_reward,delay,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,guide.started,go_ahead.started,guidelines.started,guide.stopped,go_ahead.keys,go_ahead.rt,go_ahead.duration,task.started,fixation.started,text.started,key_resp.started,fixation.stopped,task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,thank_you.started,thx.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.008327600080519915,0.028274600044824183,0.028274600044824183,15.010003000032157,space,14.955276099964976,None,,,,,,,,,,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
78,80,162,0,0,0,6,15.066377800074406,,,,,,,,,15.034473500098102,15.066377800074406,16.013068800093606,16.013068800093606,16.079194499994628,18.562339700059965,t,2.543783299974166,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
11,30,7,0,1,1,0,18.581197599996813,,,,,,,,,18.564634200069122,18.581197599996813,19.57631010003388,19.57631010003388,19.59261290007271,21.142336299992166,l,1.553436900023371,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
15,35,13,0,2,2,1,21.15754929999821,,,,,,,,,21.143751400057226,21.15754929999821,22.156955700018443,22.156955700018443,22.156955700018443,24.572570800082758,l,2.402800100040622,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
40,55,62,0,3,3,3,24.5898378000129,,,,,,,,,24.574369900044985,24.5898378000129,25.586640399997123,25.586640399997123,25.603071100078523,26.636758900014684,t,1.0340326000005007,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
67,75,119,0,4,4,5,26.652940900065005,,,,,,,,,26.63781620003283,26.652940900065005,27.636143600102514,27.636143600102514,27.653202600078657,31.933455200050958,t,4.2883544999640435,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
49,60,89,0,5,5,4,31.94838429999072,,,,,,,,,31.93476900004316,31.94838429999072,32.94657370005734,32.94657370005734,32.96362749999389,34.26379540003836,t,1.3083740000147372,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
27,50,21,0,6,6,2,34.27963460003957,,,,,,,,,34.26558610005304,34.27963460003957,35.2778312000446,35.2778312000446,35.29450820002239,36.17909820005298,l,0.8882261000107974,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
40,55,62,1,0,7,3,36.19451220007613,,,,,,,,,36.18066930002533,36.19451220007613,37.192542000091635,37.192542000091635,37.20933740003966,38.16140340000857,t,0.9651878000004217,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
67,75,119,1,1,8,5,38.177895500091836,,,,,,,,,38.163222300005145,38.177895500091836,39.17414530005772,39.17414530005772,39.19036860007327,39.860184199991636,t,0.6838680999353528,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
78,80,162,1,2,9,6,39.87537520006299,,,,,,,,,39.8617307000095,39.87537520006299,40.872520000091754,40.872520000091754,40.88916750007775,43.871127400081605,t,2.987711100024171,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
27,50,21,1,3,10,2,43.887494100024924,,,,,,,,,43.872790900059044,43.887494100024924,44.884757600026205,44.884757600026205,44.90231430006679,47.8343280000845,t,2.934443400008604,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
49,60,89,1,4,11,4,47.849262200063094,,,,,,,,,47.83595930004958,47.849262200063094,48.84818010008894,48.84818010008894,48.84818010008894,51.64702290005516,l,2.789789200061932,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
11,30,7,1,5,12,0,51.661749500082806,,,,,,,,,51.64857160008978,51.661749500082806,52.66049560008105,52.66049560008105,52.66049560008105,54.244373800000176,l,1.5691890000598505,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
15,35,13,1,6,13,1,54.25908980006352,,,,,,,,,54.24611659999937,54.25908980006352,55.257657800102606,55.257657800102606,55.257657800102606,56.90942979999818,l,1.6487140000099316,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
11,30,7,2,0,14,0,56.924156000022776,,,,,,,,,56.91098789998796,56.924156000022776,57.922268800088204,57.922268800088204,57.93873120006174,59.02446610003244,l,1.0954179000109434,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
27,50,21,2,1,15,2,59.072788599994965,,,,,,,,,59.02603190008085,59.072788599994965,60.03713310009334,60.03713310009334,60.086526600061916,61.13749110000208,l,1.0945747001096606,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
49,60,89,2,2,16,4,61.15441890002694,,,,,,,,,61.139117900049314,61.15441890002694,62.15064390003681,62.15064390003681,62.16761050000787,62.98713800008409,l,0.8305773999309167,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
67,75,119,2,3,17,5,63.00196380005218,,,,,,,,,62.988754100049846,63.00196380005218,63.99949529999867,63.99949529999867,64.01578410004731,65.59977830003481,t,1.5862560999812558,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
15,35,13,2,4,18,1,65.61467909999192,,,,,,,,,65.6012994000921,65.61467909999192,66.61395750008523,66.61395750008523,66.61395750008523,67.79760340007488,l,1.1689885999076068,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
40,55,62,2,5,19,3,67.81241140002385,,,,,,,,,67.79923970007803,67.81241140002385,68.81159759999719,68.81159759999719,68.81159759999719,69.79558410006575,l,0.968688299995847,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
78,80,162,2,6,20,6,69.81139340007212,,,,,,,,,69.79713290010113,69.81139340007212,70.80991619999986,70.80991619999986,70.8263605000684,71.8945957000833,l,1.0780821000225842,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
40,55,62,3,0,21,3,71.9089995000977,,,,,,,,,71.89633490005508,71.9089995000977,72.90805700002238,72.90805700002238,72.9246377000818,79.00383370008785,t,6.088869199971668,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
78,80,162,3,1,22,6,79.02092430007178,,,,,,,,,79.00551260006614,79.02092430007178,80.01734880008735,80.01734880008735,80.034092899994,81.01772240002174,t,0.9928740999894217,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
67,75,119,3,2,23,5,81.0337175000459,,,,,,,,,81.01932490000036,81.0337175000459,82.0317716000136,82.0317716000136,82.04862080002204,82.85063350002747,t,0.8126038999762386,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
27,50,21,3,3,24,2,82.86445230001118,,,,,,,,,82.85223369998857,82.86445230001118,83.8645216000732,83.8645216000732,83.8645216000732,84.76421060005669,l,0.8823224999941885,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
15,35,13,3,4,25,1,84.78010160010308,,,,,,,,,84.76597010006662,84.78010160010308,85.77769480005372,85.77769480005372,85.79518850008026,86.49669490009546,l,0.7070521001005545,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
49,60,89,3,5,26,4,86.5110435000388,,,,,,,,,86.49820130004082,86.5110435000388,87.51015700004064,87.51015700004064,87.52602510002907,88.41193709999789,l,0.8950087999692187,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
11,30,7,3,6,27,0,88.4268682000693,,,,,,,,,88.41368090000469,88.4268682000693,89.42467480001505,89.42467480001505,89.44144850003067,90.24252560001332,l,0.8098735000239685,None,,,,02A,001,2024-11-15_11h05.28.496,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h05.44.384713 +0530,
