loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,guidelines.started,text.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,find_1.started,text_2.started,find_image_1.started,key_resp_2.started,find_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,baseline_sa.started,subtle_anger.started,n_1.started,n_2.started,n_3.started,n_4.started,n_5.started,n_6.started,mouse_resp.started,fix_1.started,baseline_sa.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.corr,mouse_resp.clicked_name,main_sa.started,subtle_anger_main.started,mouse_resp_4.started,d_1.started,d_2.started,d_3.started,s_1.started,s_2.started,s_3.started,fix_2.started,main_sa.stopped,mouse_resp_4.x,mouse_resp_4.y,mouse_resp_4.leftButton,mouse_resp_4.midButton,mouse_resp_4.rightButton,mouse_resp_4.time,mouse_resp_4.corr,mouse_resp_4.clicked_name,find_3.started,text_4.started,key_resp_4.started,find_image__.started,find_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,baseline_ca.started,clear_anger.started,n_7.started,n_8.started,n_9.started,n_10.started,n_11.started,n_12.started,mouse_resp_3.started,fix_3.started,baseline_ca.stopped,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.corr,mouse_resp_3.clicked_name,main_ca.started,clear_anger_main.started,mouse_resp_5.started,d_4.started,d_5.started,d_6.started,s_4.started,s_5.started,s_6.started,fix_4.started,main_ca.stopped,mouse_resp_5.x,mouse_resp_5.y,mouse_resp_5.leftButton,mouse_resp_5.midButton,mouse_resp_5.rightButton,mouse_resp_5.time,mouse_resp_5.corr,mouse_resp_5.clicked_name,thank_you.started,thanks.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.004146599967498332,0.023917899990919977,0.023917899990919977,15.652726800006349,space,15.616901200031862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
,,,,,,,,,,,,,,,,,15.652791799977422,15.712649499997497,15.712649499997497,15.712649499997497,26.466241499991156,space,10.74877020000713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
0,0,0,0,,,,,26.758080600004178,,,,,,,,,,,,,,,,,26.468203699972946,26.758080600004178,26.758080600004178,26.758080600004178,26.758080600004178,26.758080600004178,26.758080600004178,26.758080600004178,0.002813400002196431,26.758080600004178,29.11486099998001,[-0.17578125],[0.19661458333333334],[1],[0],[0],[2.644872699980624],[1],['subtle_anger'],29.11772059998475,29.28603389998898,0.0008455999777652323,29.28603389998898,29.28603389998898,29.28603389998898,29.28603389998898,29.28603389998898,29.28603389998898,29.28603389998898,31.87918119999813,[-0.1171875],[0.08333333333333333],[1],[0],[0],[2.7598338999669068],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
1,0,1,0,,,,,31.892947599990293,,,,,,,,,,,,,,,,,31.88211649999721,31.892947599990293,31.892947599990293,31.892947599990293,31.892947599990293,31.892947599990293,31.892947599990293,31.892947599990293,0.0011332000140100718,31.892947599990293,33.859585399972275,[-0.4440104166666667],[-0.3307291666666667],[1],[0],[0],[1.9761029999936],[1],['subtle_anger'],33.86101360002067,33.87421079998603,0.0006526999641209841,33.87421079998603,33.87421079998603,33.87421079998603,33.87421079998603,33.87421079998603,33.87421079998603,33.87421079998603,36.22397579997778,[0.2864583333333333],[0.17578125],[1],[0],[0],[2.3615741999819875],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
2,0,2,0,,,,,36.238586299994495,,,,,,,,,,,,,,,,,36.225398499984294,36.238586299994495,36.238586299994495,36.238586299994495,36.238586299994495,36.238586299994495,36.238586299994495,36.238586299994495,0.000887200003489852,36.238586299994495,37.93953470000997,[0.059895833333333336],[0.3671875],[1],[0],[0],[1.7128587000188418],[1],['subtle_anger'],37.94097579998197,37.9534972999827,0.0007194000063464046,37.9534972999827,37.9534972999827,37.9534972999827,37.9534972999827,37.9534972999827,37.9534972999827,37.9534972999827,39.7872407999821,[0.48046875],[-0.41015625],[1],[0],[0],[1.8449757999624126],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
3,0,3,0,,,,,39.80176619999111,,,,,,,,,,,,,,,,,39.78909079998266,39.80176619999111,39.80176619999111,39.80176619999111,39.80176619999111,39.80176619999111,39.80176619999111,39.80176619999111,0.0009914000402204692,39.80176619999111,41.119114900007844,[0.11328125],[0.4010416666666667],[1],[0],[0],[1.3287104000337422],[1],['subtle_anger'],41.120334499981254,41.13391039997805,0.0005542000290006399,41.13391039997805,41.13391039997805,41.13391039997805,41.13391039997805,41.13391039997805,41.13391039997805,41.13391039997805,43.416491299984045,[-0.3854166666666667],[0.13020833333333334],[1],[0],[0],[2.2949820999638177],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
4,0,4,0,,,,,43.43170189997181,,,,,,,,,,,,,,,,,43.41872840002179,43.43170189997181,43.43170189997181,43.43170189997181,43.43170189997181,43.43170189997181,43.43170189997181,43.43170189997181,0.0011993000516667962,43.43170189997181,45.431827099993825,[-0.3125],[0.38671875],[1],[0],[0],[2.011396199988667],[1],['subtle_anger'],45.43346889998065,45.44596460001776,0.0006363000138662755,45.44596460001776,45.44596460001776,45.44596460001776,45.44596460001776,45.44596460001776,45.44596460001776,45.44596460001776,47.030942799989134,[0.055989583333333336],[0.3736979166666667],[1],[0],[0],[1.5960871999850497],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
5,0,5,0,,,,,47.044674000004306,,,,,,,,,,,,,,,,,47.03335360001074,47.044674000004306,47.044674000004306,47.044674000004306,47.044674000004306,47.044674000004306,47.044674000004306,47.044674000004306,0.0014208999928086996,47.044674000004306,48.24635719996877,[0.20182291666666666],[0.37109375],[1],[0],[0],[1.2111423999886028],[1],['subtle_anger'],48.24794839997776,48.26025870000012,0.0005688000237569213,48.26025870000012,48.26025870000012,48.26025870000012,48.26025870000012,48.26025870000012,48.26025870000012,48.26025870000012,50.276758099964354,[0.2890625],[-0.36328125],[1],[0],[0],[2.02764380001463],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
6,0,6,0,,,,,50.29142059996957,,,,,,,,,,,,,,,,,50.27875810000114,50.29142059996957,50.29142059996957,50.29142059996957,50.29142059996957,50.29142059996957,50.29142059996957,50.29142059996957,0.0009448999771848321,50.29142059996957,51.55948769999668,[0.2838541666666667],[0.13151041666666666],[1],[0],[0],[1.279416199948173],[1],['subtle_anger'],51.56109510001261,51.573547400010284,0.0007711999933235347,51.573547400010284,51.573547400010284,51.573547400010284,51.573547400010284,51.573547400010284,51.573547400010284,51.573547400010284,54.43979410000611,[-0.2526041666666667],[-0.22786458333333334],[1],[0],[0],[2.8771990000386722],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
7,0,7,0,,,,,54.454046199971344,,,,,,,,,,,,,,,,,54.44204300001729,54.454046199971344,54.454046199971344,54.454046199971344,54.454046199971344,54.454046199971344,54.454046199971344,54.454046199971344,0.0010227999882772565,54.454046199971344,56.006705300009344,[0.22395833333333334],[0.3385416666666667],[1],[0],[0],[1.5631066000205465],[1],['subtle_anger'],56.00831329997163,56.01995200000238,0.0007437999593093991,56.01995200000238,56.01995200000238,56.01995200000238,56.01995200000238,56.01995200000238,56.01995200000238,56.01995200000238,57.22140899999067,[-0.17708333333333334],[0.16796875],[1],[0],[0],[1.2114359000115655],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R,001,2024-12-03_19h46.38.250,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h47.10.608187 +0530,
