loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,guidelines.started,text.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,find_1.started,text_2.started,find_image_1.started,key_resp_2.started,find_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,baseline_sa.started,subtle_anger.started,n_1.started,n_2.started,n_3.started,n_4.started,n_5.started,n_6.started,mouse_resp.started,fix_1.started,baseline_sa.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.corr,mouse_resp.clicked_name,main_sa.started,subtle_anger_main.started,mouse_resp_4.started,d_1.started,d_2.started,d_3.started,s_1.started,s_2.started,s_3.started,fix_2.started,main_sa.stopped,mouse_resp_4.x,mouse_resp_4.y,mouse_resp_4.leftButton,mouse_resp_4.midButton,mouse_resp_4.rightButton,mouse_resp_4.time,mouse_resp_4.corr,mouse_resp_4.clicked_name,find_3.started,text_4.started,key_resp_4.started,find_image__.started,find_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,baseline_ca.started,clear_anger.started,n_7.started,n_8.started,n_9.started,n_10.started,n_11.started,n_12.started,mouse_resp_3.started,fix_3.started,baseline_ca.stopped,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.corr,mouse_resp_3.clicked_name,main_ca.started,clear_anger_main.started,mouse_resp_5.started,d_4.started,d_5.started,d_6.started,s_4.started,s_5.started,s_6.started,fix_4.started,main_ca.stopped,mouse_resp_5.x,mouse_resp_5.y,mouse_resp_5.leftButton,mouse_resp_5.midButton,mouse_resp_5.rightButton,mouse_resp_5.time,mouse_resp_5.corr,mouse_resp_5.clicked_name,thank_you.started,thanks.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.005222100007813424,0.01881909999065101,0.01881909999065101,20.056268499989528,space,20.016211299982388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
,,,,,,,,,,,,,,,,,20.056329099985305,20.118103899993002,20.118103899993002,20.118103899993002,39.34879020001972,space,19.223225000023376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
0,0,0,0,,,,,39.46632140001748,,,,,,,,,,,,,,,,,39.35149500000989,39.46632140001748,39.46632140001748,39.46632140001748,39.46632140001748,39.46632140001748,39.46632140001748,39.46632140001748,0.003842799982521683,39.46632140001748,41.38318200001959,[0.16536458333333334],[-0.08072916666666667],[1],[0],[0],[2.0293470000033267],[1],['subtle_anger'],41.38592939998489,41.64770079997834,0.0004931000294163823,41.64770079997834,41.64770079997834,41.64770079997834,41.64770079997834,41.64770079997834,41.64770079997834,41.64770079997834,43.47859359998256,[0.2890625],[-0.4752604166666667],[1],[0],[0],[2.0912578999996185],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
1,0,1,0,,,,,43.49345030001132,,,,,,,,,,,,,,,,,43.48133699997561,43.49345030001132,43.49345030001132,43.49345030001132,43.49345030001132,43.49345030001132,43.49345030001132,43.49345030001132,0.0011422000243328512,43.49345030001132,44.742374999972526,[-0.16145833333333334],[-0.17317708333333334],[1],[0],[0],[1.2594399999943562],[1],['subtle_anger'],44.744518099993,44.75696580001386,0.0009562000050209463,44.75696580001386,44.75696580001386,44.75696580001386,44.75696580001386,44.75696580001386,44.75696580001386,44.75696580001386,46.00859310000669,[0.4986979166666667],[0.040364583333333336],[1],[0],[0],[1.262374899990391],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
2,0,2,0,,,,,46.022375000000466,,,,,,,,,,,,,,,,,46.01061860000482,46.022375000000466,46.022375000000466,46.022375000000466,46.022375000000466,46.022375000000466,46.022375000000466,46.022375000000466,0.001113200036343187,46.022375000000466,47.52436989999842,[-0.005208333333333333],[-0.17578125],[1],[0],[0],[1.5121630000066943],[1],['subtle_anger'],47.5263831000193,47.53817010001512,0.0008823000243864954,47.53817010001512,47.53817010001512,47.53817010001512,47.53817010001512,47.53817010001512,47.53817010001512,47.53817010001512,49.05478289996972,[0.3138020833333333],[0.2890625],[1],[0],[0],[1.5267204000265338],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
3,0,3,0,,,,,49.06928749999497,,,,,,,,,,,,,,,,,49.05723239999497,49.06928749999497,49.06928749999497,49.06928749999497,49.06928749999497,49.06928749999497,49.06928749999497,49.06928749999497,0.0011442999821156263,49.06928749999497,50.23640629998408,[-0.2877604166666667],[-0.17838541666666666],[1],[0],[0],[1.1777218999923207],[1],['subtle_anger'],50.23778620001394,50.25148729997454,0.0006599000189453363,50.25148729997454,50.25148729997454,50.25148729997454,50.25148729997454,50.25148729997454,50.25148729997454,50.25148729997454,52.368445899977814,[-0.2604166666666667],[0.4127604166666667],[1],[0],[0],[2.1294081999803893],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
4,0,4,0,,,,,52.382895199989434,,,,,,,,,,,,,,,,,52.37014319997979,52.382895199989434,52.382895199989434,52.382895199989434,52.382895199989434,52.382895199989434,52.382895199989434,52.382895199989434,0.0008543999865651131,52.382895199989434,54.43335369997658,[0.22265625],[-0.3619791666666667],[1],[0],[0],[2.061981200007722],[1],['subtle_anger'],54.4348271000199,54.4472681999905,0.0006824999582022429,54.4472681999905,54.4472681999905,54.4472681999905,54.4472681999905,54.4472681999905,54.4472681999905,54.4472681999905,55.565655099984724,[-0.17578125],[-0.19270833333333334],[1],[0],[0],[1.1293544000363909],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
5,0,5,0,,,,,55.57989679998718,,,,,,,,,,,,,,,,,55.56790299998829,55.57989679998718,55.57989679998718,55.57989679998718,55.57989679998718,55.57989679998718,55.57989679998718,55.57989679998718,0.0012456999975256622,55.57989679998718,56.61440409999341,[-0.040364583333333336],[0.14713541666666666],[1],[0],[0],[1.0448246999876574],[1],['subtle_anger'],56.616219700023066,56.62856979999924,0.0008486000006087124,56.62856979999924,56.62856979999924,56.62856979999924,56.62856979999924,56.62856979999924,56.62856979999924,56.62856979999924,57.84747039998183,[0.39453125],[0.3033854166666667],[1],[0],[0],[1.2298390000360087],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
6,0,6,0,,,,,57.86056040000403,,,,,,,,,,,,,,,,,57.84886630001711,57.86056040000403,57.86056040000403,57.86056040000403,57.86056040000403,57.86056040000403,57.86056040000403,57.86056040000403,0.0008290999685414135,57.86056040000403,59.744223700021394,[0.46875],[0.3671875],[1],[0],[0],[1.8942158000427298],[1],['subtle_anger'],59.74536120000994,59.75914109998848,0.000552999961655587,59.75914109998848,59.75914109998848,59.75914109998848,59.75914109998848,59.75914109998848,59.75914109998848,59.75914109998848,62.108357699995395,[0.2825520833333333],[-0.22395833333333334],[1],[0],[0],[2.361824700026773],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
7,0,7,0,,,,,62.1232060000184,,,,,,,,,,,,,,,,,62.11048109998228,62.1232060000184,62.1232060000184,62.1232060000184,62.1232060000184,62.1232060000184,62.1232060000184,62.1232060000184,0.0011743999784812331,62.1232060000184,63.10825529997237,[-0.21614583333333334],[0.2747395833333333],[1],[0],[0],[0.9963797000236809],[1],['subtle_anger'],63.10945679998258,63.122435199969914,0.0005714999861083925,63.122435199969914,63.122435199969914,63.122435199969914,63.122435199969914,63.122435199969914,63.122435199969914,63.122435199969914,65.176529999997,[-0.22526041666666666],[-0.265625],[1],[0],[0],[2.0652850000187755],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02P,001,2024-12-03_19h54.51.094,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 19h55.10.261727 +0530,
