loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,guidelines.started,text.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,find_1.started,text_2.started,find_image_1.started,key_resp_2.started,find_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,baseline_sa.started,subtle_anger.started,n_1.started,n_2.started,n_3.started,n_4.started,n_5.started,n_6.started,mouse_resp.started,fix_1.started,baseline_sa.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.corr,mouse_resp.clicked_name,main_sa.started,subtle_anger_main.started,mouse_resp_4.started,d_1.started,d_2.started,d_3.started,s_1.started,s_2.started,s_3.started,fix_2.started,main_sa.stopped,mouse_resp_4.x,mouse_resp_4.y,mouse_resp_4.leftButton,mouse_resp_4.midButton,mouse_resp_4.rightButton,mouse_resp_4.time,mouse_resp_4.corr,mouse_resp_4.clicked_name,find_3.started,text_4.started,key_resp_4.started,find_image__.started,find_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,baseline_ca.started,clear_anger.started,n_7.started,n_8.started,n_9.started,n_10.started,n_11.started,n_12.started,mouse_resp_3.started,fix_3.started,baseline_ca.stopped,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.corr,mouse_resp_3.clicked_name,main_ca.started,clear_anger_main.started,mouse_resp_5.started,d_4.started,d_5.started,d_6.started,s_4.started,s_5.started,s_6.started,fix_4.started,main_ca.stopped,mouse_resp_5.x,mouse_resp_5.y,mouse_resp_5.leftButton,mouse_resp_5.midButton,mouse_resp_5.rightButton,mouse_resp_5.time,mouse_resp_5.corr,mouse_resp_5.clicked_name,thank_you.started,thanks.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.00342700001783669,0.01056389999575913,0.01056389999575913,20.917343400011305,space,20.896370699978434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
,,,,,,,,,,,,,,,,,20.917427000007592,20.97917010000674,20.97917010000674,20.97917010000674,25.07193959999131,space,4.083864799991716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
0,0,0,0,,,,,25.196557399991434,,,,,,,,,,,,,,,,,25.074322500033304,25.196557399991434,25.196557399991434,25.196557399991434,25.196557399991434,25.196557399991434,25.196557399991434,25.196557399991434,0.0033062000293284655,25.196557399991434,31.401811600022484,[-0.4348958333333333],[-0.2942708333333333],[1],[0],[0],[6.325457800005097],[1],['subtle_anger'],31.405187600001227,31.560740999993868,0.0009340999531559646,31.560740999993868,31.560740999993868,31.560740999993868,31.560740999993868,31.560740999993868,31.560740999993868,31.560740999993868,33.697399399999995,[0.4830729166666667],[0.4153645833333333],[1],[0],[0],[2.2903091999469325],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
1,0,1,0,,,,,33.71168499998748,,,,,,,,,,,,,,,,,33.700679900008254,33.71168499998748,33.71168499998748,33.71168499998748,33.71168499998748,33.71168499998748,33.71168499998748,33.71168499998748,0.0012400000123307109,33.71168499998748,35.42804410000099,[-0.052083333333333336],[0.21744791666666666],[1],[0],[0],[1.7258960999897681],[1],['subtle_anger'],35.429246600018814,35.442693800025154,0.0005193999968469143,35.442693800025154,35.442693800025154,35.442693800025154,35.442693800025154,35.442693800025154,35.442693800025154,35.442693800025154,40.05888090003282,[0.2421875],[-0.26171875],[1],[0],[0],[4.628089500009082],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
2,0,2,0,,,,,40.07221250003204,,,,,,,,,,,,,,,,,40.06147920002695,40.07221250003204,40.07221250003204,40.07221250003204,40.07221250003204,40.07221250003204,40.07221250003204,40.07221250003204,0.0012027999619022012,40.07221250003204,42.65392020001309,[0.4192708333333333],[0.30078125],[1],[0],[0],[2.5911523000104353],[1],['subtle_anger'],42.655301599996164,42.668938099988736,0.0006053000106476247,42.668938099988736,42.668938099988736,42.668938099988736,42.668938099988736,42.668938099988736,42.668938099988736,42.668938099988736,45.18676840001717,[0.2265625],[-0.2916666666666667],[1],[0],[0],[2.530170399986673],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
3,0,3,0,,,,,45.20119920000434,,,,,,,,,,,,,,,,,45.189390400017146,45.20119920000434,45.20119920000434,45.20119920000434,45.20119920000434,45.20119920000434,45.20119920000434,45.20119920000434,0.0015610000118613243,45.20119920000434,46.93784060003236,[0.005208333333333333],[0.20833333333333334],[1],[0],[0],[1.74617080000462],[1],['subtle_anger'],46.94114469998749,46.956671399995685,0.0014726999797858298,46.956671399995685,46.956671399995685,46.956671399995685,46.956671399995685,46.956671399995685,46.956671399995685,46.956671399995685,48.61530090001179,[-0.11848958333333333],[0.18880208333333334],[1],[0],[0],[1.671851199993398],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
4,0,4,0,,,,,48.62999009998748,,,,,,,,,,,,,,,,,48.617443400027696,48.62999009998748,48.62999009998748,48.62999009998748,48.62999009998748,48.62999009998748,48.62999009998748,48.62999009998748,0.0012508000363595784,48.62999009998748,51.21382589999121,[-0.059895833333333336],[-0.4283854166666667],[1],[0],[0],[2.5945020000217482],[1],['subtle_anger'],51.21542369999224,51.22708879999118,0.0006466000340878963,51.22708879999118,51.22708879999118,51.22708879999118,51.22708879999118,51.22708879999118,51.22708879999118,51.22708879999118,54.526329900021665,[-0.25390625],[0.3815104166666667],[1],[0],[0],[3.3095954000018537],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
5,0,5,0,,,,,54.5404930000077,,,,,,,,,,,,,,,,,54.52861390000908,54.5404930000077,54.5404930000077,54.5404930000077,54.5404930000077,54.5404930000077,54.5404930000077,54.5404930000077,0.0012008000048808753,54.5404930000077,56.742149300000165,[-0.17447916666666666],[0.14583333333333334],[1],[0],[0],[2.211954300000798],[1],['subtle_anger'],56.743452200025786,56.75527500000317,0.0005497999954968691,56.75527500000317,56.75527500000317,56.75527500000317,56.75527500000317,56.75527500000317,56.75527500000317,56.75527500000317,59.22202789998846,[-0.3958333333333333],[-0.08854166666666667],[1],[0],[0],[2.477126899990253],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
6,0,6,0,,,,,59.23695589997806,,,,,,,,,,,,,,,,,59.22521730000153,59.23695589997806,59.23695589997806,59.23695589997806,59.23695589997806,59.23695589997806,59.23695589997806,59.23695589997806,0.0014995000092312694,59.23695589997806,61.48663320002379,[-0.3502604166666667],[-0.17838541666666666],[1],[0],[0],[2.259664300014265],[1],['subtle_anger'],61.48868880001828,61.50080189999426,0.0008428000146523118,61.50080189999426,61.50080189999426,61.50080189999426,61.50080189999426,61.50080189999426,61.50080189999426,61.50080189999426,63.50214529997902,[0.3684895833333333],[-0.13151041666666666],[1],[0],[0],[2.0118863999960013],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
7,0,7,0,,,,,63.51531370001612,,,,,,,,,,,,,,,,,63.504319500003476,63.51531370001612,63.51531370001612,63.51531370001612,63.51531370001612,63.51531370001612,63.51531370001612,63.51531370001612,0.0013232000055722892,63.51531370001612,65.76612049998948,[-0.2747395833333333],[0.2825520833333333],[1],[0],[0],[2.2601551999687217],[1],['subtle_anger'],65.76795680000214,65.77992230001837,0.0008178999996744096,65.77992230001837,65.77992230001837,65.77992230001837,65.77992230001837,65.77992230001837,65.77992230001837,65.77992230001837,67.96462610003073,[-0.07291666666666667],[-0.13541666666666666],[1],[0],[0],[2.1951218000031076],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05T,001,2024-12-03_20h22.07.941,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h22.27.743613 +0530,
