trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.008949299808591604,0.021023999899625778,0.504832100123167,,,,,,,,,,,,,,,,,,,,,,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
,,,,,,,,,0.5049048000946641,0.5215472998097539,0.5215472998097539,14.210421700030565,space,13.656906799878925,None,,,,,,,,,,,,,,,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
0,0,0,0,14.272183400113136,,,,,,,,,,,,14.215567499864846,10,0.049990300089120865,14.272183400113136,14.272183400113136,16.021449599880725,[0.4791666666666667],[0.3020833333333333],[1],[0],[0],[1.805453599896282],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
1,0,1,0,16.05000020004809,,,,,,,,,,,,16.02577569987625,5,0.01521009998396039,16.05000020004809,16.05000020004809,17.206110099796206,[-0.005208333333333333],[0.125],[1],[0],[0],[1.1798378000967205],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
2,0,2,0,17.23111579986289,,,,,,,,,,,,17.20892080012709,5,0.015766000375151634,17.23111579986289,17.23111579986289,18.936311800032854,[0.45703125],[-0.46484375],[1],[0],[0],[1.7269990998320282],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
3,0,3,0,18.961487399879843,,,,,,,,,,,,18.939247299917042,5,0.015519199892878532,18.961487399879843,18.961487399879843,21.051195399835706,[-0.36328125],[-0.2643229166666667],[1],[0],[0],[2.1114616002887487],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
4,0,4,0,21.077085599768907,,,,,,,,,,,,21.05431709997356,5,0.016089700162410736,21.077085599768907,21.077085599768907,22.74996819999069,[-0.10677083333333333],[-0.2669270833333333],[1],[0],[0],[1.6952014002017677],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
5,0,5,0,22.776050900109112,,,,,,,,,,,,22.75318909995258,5,0.016247100196778774,22.776050900109112,22.776050900109112,24.098263999912888,[0.234375],[0.044270833333333336],[1],[0],[0],[1.3445612001232803],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
6,0,6,0,24.12351159984246,,,,,,,,,,,,24.101247400045395,5,0.01571690011769533,24.12351159984246,24.12351159984246,25.6302730999887,[-0.15234375],[-0.3203125],[1],[0],[0],[1.5284543996676803],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
7,0,7,0,25.6731309001334,,,,,,,,,,,,25.633217600174248,10,0.02982989978045225,25.6731309001334,25.6731309001334,26.961643499787897,[0.3424479166666667],[0.16145833333333334],[1],[0],[0],[1.3280107998289168],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
