trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.009371300227940083,0.018588900100439787,0.5024418001994491,,,,,,,,,,,,,,,,,,,,,,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
,,,,,,,,,0.5024756998755038,0.5195880001410842,0.5195880001410842,5.834270200226456,space,5.309072100091726,None,,,,,,,,,,,,,,,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
0,0,0,0,5.863014599774033,,,,,,,,,,,,5.836818099953234,5,0.020203200168907642,5.863014599774033,5.863014599774033,7.497865700162947,[-0.4479166666666667],[-0.2721354166666667],[1],[0],[0],[1.6604963997378945],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
1,0,1,0,7.560953500214964,,,,,,,,,,,,7.5037384000606835,10,0.041557999793440104,7.560953500214964,7.560953500214964,9.42646799981594,[0.30859375],[0.4791666666666667],[1],[0],[0],[1.9222765997983515],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
2,0,2,0,9.478385199792683,,,,,,,,,,,,9.42987409979105,10,0.0354610001668334,9.478385199792683,9.478385199792683,10.7920371000655,[0.3059895833333333],[0.2786458333333333],[1],[0],[0],[1.3616582998074591],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
3,0,3,0,10.845852899830788,,,,,,,,,,,,10.795369400177151,10,0.037108400370925665,10.845852899830788,10.845852899830788,12.140468399971724,[0.4908854166666667],[0.2747395833333333],[1],[0],[0],[1.3446391001343727],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
4,0,4,0,12.171431900002062,,,,,,,,,,,,12.143938099965453,5,0.01938740024343133,12.171431900002062,12.171431900002062,14.271447299979627,[0.3046875],[-0.3763020833333333],[1],[0],[0],[2.127022699918598],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
5,0,5,0,14.336381800007075,,,,,,,,,,,,14.276640799827874,10,0.04793079989030957,14.336381800007075,14.336381800007075,16.004230999853462,[-0.47265625],[-0.3020833333333333],[1],[0],[0],[1.7270822999998927],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
6,0,6,0,16.069890699815005,,,,,,,,,,,,16.008284400217235,10,0.04447849979624152,16.069890699815005,16.069890699815005,18.518275400158018,[-0.2708333333333333],[0.4140625],[1],[0],[0],[2.5095027000643313],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
7,0,7,0,18.58771579992026,,,,,,,,,,,,18.5236873999238,10,0.04924670001491904,18.58771579992026,18.58771579992026,20.38327750004828,[-0.4140625],[-0.12890625],[1],[0],[0],[1.859164500143379],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
8,0,8,0,20.410135299898684,,,,,,,,,,,,20.386231299955398,5,0.016956099774688482,20.410135299898684,20.410135299898684,22.031675400212407,[0.13671875],[0.11979166666666667],[1],[0],[0],[1.6449820003472269],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
9,0,9,0,22.056729199830443,,,,,,,,,,,,22.034528899937868,5,0.015713300090283155,22.056729199830443,22.056729199830443,23.380699399858713,[0.41796875],[0.2565104166666667],[1],[0],[0],[1.3457577000372112],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
10,0,10,0,23.40804889984429,,,,,,,,,,,,23.3838089001365,5,0.017710200045257807,23.40804889984429,23.40804889984429,25.045028400141746,[-0.13802083333333334],[0.3541666666666667],[1],[0],[0],[1.6607201998122036],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
