trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,text_2.stopped,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002386900130659342,0.011695499997586012,0.5128210000693798,0.49778470024466515,,,,,,,,,,,,,,,,,,,,,,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
,,,,,,,,,,0.49785140017047524,0.5128210000693798,0.5128210000693798,6.425703700166196,space,5.8951790002174675,None,,,,,,,,,,,,,,,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
0,0,0,0,6.515331200323999,,,,,,,,,,,,,6.467674999963492,5,0.08068479970097542,6.515331200323999,6.515331200323999,8.021138099953532,[-0.2877604166666667],[0.2799479166666667],[1],[0],[0],[1.5524639999493957],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
1,0,1,0,8.079797200392932,,,,,,,,,,,,,8.034701500087976,5,0.03814460011199117,8.079797200392932,8.079797200392932,9.45428579999134,[0.10026041666666667],[0.20572916666666666],[1],[0],[0],[1.4188157003372908],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
2,0,2,0,9.502885800320655,,,,,,,,,,,,,9.458997800014913,10,0.03385340003296733,9.502885800320655,9.502885800320655,11.318935600109398,[-0.4544270833333333],[-0.16276041666666666],[1],[0],[0],[1.8594261002726853],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
3,0,3,0,11.3480858001858,,,,,,,,,,,,,11.323114500381052,5,0.018524799961596727,11.3480858001858,11.3480858001858,13.01789480028674,[0.3424479166666667],[-0.3684895833333333],[1],[0],[0],[1.694293100386858],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
4,0,4,0,13.04721050010994,,,,,,,,,,,,,13.021090200170875,5,0.01907389983534813,13.04721050010994,13.04721050010994,14.582939800340682,[0.0026041666666666665],[-0.3736979166666667],[1],[0],[0],[1.5612953999079764],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
5,0,5,0,14.61398410005495,,,,,,,,,,,,,14.587012700270861,5,0.018708800431340933,14.61398410005495,14.61398410005495,15.783145100343972,[-0.23567708333333334],[0.2721354166666667],[1],[0],[0],[1.1954704001545906],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
6,0,6,0,15.81677810009569,,,,,,,,,,,,,15.788486700039357,5,0.020474900025874376,15.81677810009569,15.81677810009569,17.430735799949616,[-0.1875],[-0.38671875],[1],[0],[0],[1.6417737998999655],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
7,0,7,0,17.481151800137013,,,,,,,,,,,,,17.43464540038258,10,0.034524399787187576,17.481151800137013,17.481151800137013,20.0765538001433,[-0.033854166666666664],[0.0234375],[1],[0],[0],[2.6414709999226034],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
8,0,8,0,20.14181930013001,,,,,,,,,,,,,20.08029850013554,10,0.048652200028300285,20.14181930013001,20.14181930013001,21.642382900230587,[-0.3424479166666667],[-0.14453125],[1],[0],[0],[1.5616427999921143],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
9,0,9,0,21.72042140038684,,,,,,,,,,,,,21.646298200357705,10,0.06326189963147044,21.72042140038684,21.72042140038684,23.22426180029288,[0.2955729166666667],[0.30859375],[1],[0],[0],[1.5775081999599934],['target'],,,,T4,001,2024-10-08_13h09.40.213,untitled,2024.1.5,None,2024-10-08 13h09.56.057675 +0530,
