test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,hello.started,say_hello.started,hello.stopped,guidelines.started,guide.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,phase_1.started,text.started,phase_1.stopped,study_phase.started,study_text.started,study_slider.started,study_phase.stopped,study_slider.response,study_slider.rt,phase_2.started,text_2.started,phase_2.stopped,test_phase.started,test_text.started,test_textbox.started,submit_text.started,test_mouse.started,test_phase.stopped,test_textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,test_text.stopped,thank_you.started,ty.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.005866700084879994,0.028546500019729137,2.5115594000089914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
,,,,,,,,,,,,,,,,2.511618700111285,2.527122300118208,2.527122300118208,3.4481095001101494,space,0.9022987999487668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
,,,,,,,,,,,,,,,,,,,,,,,3.4481616001576185,3.4582569000776857,6.956733500119299,,,,,,,,,,,,,,,,,,,,,,,,,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
,,,,,,,,,,,34.73858600016683,,,,,,,,,,,,,,,34.71462090010755,34.73858600016683,34.73858600016683,35.480672700097784,1,0.7438753999304026,35.480848600156605,35.49357799999416,38.99126529996283,,,,,,,,,,,,,,,,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
p_st_r,poster,old ,,,,,0,0,0,9,39.064066800056025,,,,,,,,,,,,,,,,,,,,,,,,39.01154009997845,39.064066800056025,39.064066800056025,39.064066800056025,0.04314139997586608,45.28746709995903,poster,[-0.07552083333333333],[-0.296875],[1],[0],[0],[6.262765099992976],['submit_text'],,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
k_y_,keys,old ,,,,,0,1,1,8,45.30098980013281,,,,,,,,,,,,,,,,,,,,,,,,45.28897100011818,45.30098980013281,45.30098980013281,45.30098980013281,0.002430400112643838,47.38352339994162,keys,[-0.057291666666666664],[-0.2981770833333333],[1],[0],[0],[2.091632999945432],['submit_text'],,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
_a_bl_,marble,old ,,,,,0,2,2,11,47.39929089997895,,,,,,,,,,,,,,,,,,,,,,,,47.384686100063846,47.39929089997895,47.39929089997895,47.39929089997895,0.003467300208285451,49.94781140005216,marble,[-0.010416666666666666],[-0.3033854166666667],[1],[0],[0],[2.5592301001306623],['submit_text'],,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
l_pt_p ,laptop,old ,,,,,0,3,3,0,49.96260600001551,,,,,,,,,,,,,,,,,,,,,,,,49.94865910010412,49.96260600001551,49.96260600001551,49.96260600001551,0.0029625999741256237,52.01333690015599,laptop,[-0.03515625],[-0.3020833333333333],[1],[0],[0],[2.060926799895242],['submit_text'],,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
mo_s_,mouse,old ,,,,,0,4,4,3,52.03526020003483,,,,,,,,,,,,,,,,,,,,,,,,52.01505229994655,52.03526020003483,52.03526020003483,52.03526020003483,0.004699099808931351,54.12807189999148,mouse,[-0.009114583333333334],[-0.2981770833333333],[1],[0],[0],[2.1075152999255806],['submit_text'],,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
_ho_e,phone,old ,,,,,0,5,5,12,54.14612830011174,,,,,,,,,,,,,,,,,,,,,,,,54.12947509996593,54.14612830011174,54.14612830011174,54.14612830011174,0.0033750999718904495,59.022675300017,choose,[-0.0234375],[-0.2981770833333333],[1],[0],[0],[4.889491599984467],['submit_text'],,,,,01RS,2024-10-25_11h43.45.996,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h44.02.265129 +0530,
