test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,hello.started,say_hello.started,hello.stopped,guidelines.started,guide.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,phase_1.started,text.started,phase_1.stopped,study_phase.started,study_text.started,study_slider.started,study_phase.stopped,study_slider.response,study_slider.rt,phase_2.started,text_2.started,phase_2.stopped,test_phase.started,test_text.started,test_textbox.started,submit_text.started,test_mouse.started,test_text.stopped,test_phase.stopped,test_textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,thank_you.started,ty.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004366799956187606,0.020868699997663498,2.50223909993656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
,,,,,,,,,,,,,,,,2.502287899842486,2.5185962000396103,2.5185962000396103,24.007886699866503,space,21.479979099938646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
,,,,,,,,,,,,,,,,,,,,,,,24.00794030004181,24.016900399932638,27.511388399871066,,,,,,,,,,,,,,,,,,,,,,,,,,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
,,,,,,,,,,,44.64885749993846,,,,,,,,,,,,,,,44.628893699962646,44.64885749993846,44.64885749993846,45.09645059984177,1.0104166666666667,0.4461835001129657,45.096664999844506,45.10885479999706,48.607762000057846,,,,,,,,,,,,,,,,,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
k_y_,keys,old ,,,,,0,0,0,8,48.639740499900654,,,,,,,,,,,,,,,,,,,,,,,,48.626539199845865,48.639740499900654,48.639740499900654,48.639740499900654,0.03372350009158254,58.64586509997025,63.60886349994689, ,[-0.08463541666666667],[-0.2916666666666667],[1],[0],[0],[14.977859999984503],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
p_li_e,police,old ,,,,,0,1,1,7,63.624383699847385,,,,,,,,,,,,,,,,,,,,,,,,63.61029480001889,63.624383699847385,63.624383699847385,63.624383699847385,0.0031973998993635178,,67.93921929993667,POLICE,[-0.08463541666666667],[-0.2916666666666667],[1],[0],[0],[4.325144899776205],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
pa_tr_,pastry,old ,,,,,0,2,2,4,67.95624409988523,,,,,,,,,,,,,,,,,,,,,,,,67.94030179991387,67.95624409988523,67.95624409988523,67.95624409988523,0.003824800020083785,,72.70014009997249,PASTRY,[-0.08463541666666667],[-0.2916666666666667],[1],[0],[0],[4.755424000089988],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
v_s_,vase,new,,,,,0,3,3,17,72.71432340005413,,,,,,,,,,,,,,,,,,,,,,,,72.70096549997106,72.71432340005413,72.71432340005413,72.71432340005413,0.00279699987731874,,76.81347529985942,VASE,[-0.08463541666666667],[-0.2916666666666667],[1],[0],[0],[4.109020800096914],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
l_pt_p ,laptop,old ,,,,,0,4,4,0,76.83275970001705,,,,,,,,,,,,,,,,,,,,,,,,76.8146772000473,76.83275970001705,76.83275970001705,76.83275970001705,0.005044199991971254,,81.65943560004234,LAPTOP,[-0.08723958333333333],[-0.29296875],[1],[0],[0],[4.8390641999430954],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
_a_bl_,marble,old ,,,,,0,5,5,11,81.67512140003964,,,,,,,,,,,,,,,,,,,,,,,,81.660705300048,81.67512140003964,81.67512140003964,81.67512140003964,0.004173400113359094,,87.38571269996464,LABLE,[-0.1015625],[-0.3151041666666667],[1],[0],[0],[5.720419500023127],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
p_nc_l,pencil,new,,,,,0,6,6,16,87.40071789990179,,,,,,,,,,,,,,,,,,,,,,,,87.38654269999824,87.40071789990179,87.40071789990179,87.40071789990179,0.003492099931463599,,87.80306559987366,,[-0.1015625],[-0.3151041666666667],[1],[0],[0],[0.4124789999332279],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
_ho_e,phone,old ,,,,,0,7,7,12,87.82011239998974,,,,,,,,,,,,,,,,,,,,,,,,87.80419950000942,87.82011239998974,87.82011239998974,87.82011239998974,0.004340100102126598,,92.49755620001815,SHORE,[-0.10546875],[-0.30078125],[1],[0],[0],[4.688467799918726],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
t_hi_t,tshirt,old ,,,,,0,8,8,2,92.51488679996692,,,,,,,,,,,,,,,,,,,,,,,,92.49870830005966,92.51488679996692,92.51488679996692,92.51488679996692,0.0032141997944563627,,96.02696899999864,TSHIRT,[-0.10546875],[-0.30078125],[1],[0],[0],[3.5244927001185715],['submit_text'],,,,02SL,2024-10-25_11h46.26.754,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h46.47.393697 +0530,
