test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,hello.started,say_hello.started,hello.stopped,guidelines.started,guide.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,phase_1.started,text.started,phase_1.stopped,study_phase.started,study_text.started,study_slider.started,study_phase.stopped,study_slider.response,study_slider.rt,phase_2.started,text_2.started,phase_2.stopped,test_phase.started,test_text.started,test_textbox.started,submit_text.started,test_mouse.started,test_phase.stopped,test_textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,test_text.stopped,thank_you.started,ty.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0060344000812619925,0.02125360001809895,2.502612299984321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
,,,,,,,,,,,,,,,,2.502666700165719,2.518782600061968,2.518782600061968,4.924204800045118,space,2.3971000998280942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
,,,,,,,,,,,,,,,,,,,,,,,4.924259300110862,4.934363899985328,8.430151300039142,,,,,,,,,,,,,,,,,,,,,,,,,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
,,,,,,,,,,,27.9684623000212,,,,,,,,,,,,,,,27.946914799977094,27.9684623000212,27.9684623000212,29.04537479998544,1.84375,1.0744035998359323,29.045573600102216,29.058353299973533,32.556209300179034,,,,,,,,,,,,,,,,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
ta_l_,table,new,,,,,0,0,0,15,32.61777050001547,,,,,,,,,,,,,,,,,,,,,,,,32.57405550009571,32.61777050001547,32.61777050001547,32.61777050001547,0.0366652999073267,38.01739710010588,table,[-0.0390625],[-0.2890625],[0],[0],[1],[5.4345631001051515],['submit_text'],,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
_oo_,book,old ,,,,,0,1,1,13,38.032562599983066,,,,,,,,,,,,,,,,,,,,,,,,38.018900100141764,38.032562599983066,38.032562599983066,38.032562599983066,0.003605100093409419,41.165088000008836,book,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.1420143998693675],['submit_text'],,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
v_s_,vase,new,,,,,0,2,2,17,41.18201810005121,,,,,,,,,,,,,,,,,,,,,,,,41.16625260002911,41.18201810005121,41.18201810005121,41.18201810005121,0.0036730000283569098,44.11363760009408,voss,[-0.026041666666666668],[-0.3020833333333333],[1],[0],[0],[2.9432723000645638],['submit_text'],,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
c_s_,case,old ,,,,,0,3,3,5,44.128708500182256,,,,,,,,,,,,,,,,,,,,,,,,44.11454230011441,44.128708500182256,44.128708500182256,44.128708500182256,0.003387399949133396,47.441896700067446,case,[-0.026041666666666668],[-0.3020833333333333],[1],[0],[0],[3.3234333998989314],['submit_text'],,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
mo_s_,mouse,old ,,,,,0,4,4,3,47.45848760008812,,,,,,,,,,,,,,,,,,,,,,,,47.442692700074986,47.45848760008812,47.45848760008812,47.45848760008812,0.004522599978372455,51.37254530005157,mouse,[-0.014322916666666666],[-0.3033854166666667],[1],[0],[0],[3.92483859998174],['submit_text'],,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
pa_tr_,pastry,old ,,,,,0,5,5,4,51.388068000087515,,,,,,,,,,,,,,,,,,,,,,,,51.37346170004457,51.388068000087515,51.388068000087515,51.388068000087515,0.0040188999846577644,54.10248570004478,pastry,[-0.014322916666666666],[-0.3033854166666667],[1],[0],[0],[2.7245578998699784],['submit_text'],,,,,03AN,2024-10-25_11h50.47.336,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h51.24.723093 +0530,
