test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,hello.started,say_hello.started,hello.stopped,guidelines.started,guide.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,phase_1.started,text.started,phase_1.stopped,study_phase.started,study_text.started,study_slider.started,study_phase.stopped,study_slider.response,study_slider.rt,phase_2.started,text_2.started,phase_2.stopped,test_phase.started,test_text.started,test_textbox.started,submit_text.started,test_mouse.started,test_phase.stopped,test_textbox.text,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_mouse.time,test_mouse.clicked_name,thank_you.started,ty.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03278700006194413,0.045672900043427944,2.5122740000952035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
,,,,,,,,,,,,,,,,2.5124196000397205,2.5276462000329047,2.5276462000329047,7.441350999986753,space,4.901112300110981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
,,,,,,,,,,,,,,,,,,,,,,,7.441435300046578,7.455761200049892,10.95192819996737,,,,,,,,,,,,,,,,,,,,,,,,,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
,,,,,,,,,,,30.807263700058684,,,,,,,,,,,,,,,30.78661819989793,30.807263700058684,30.807263700058684,31.51764119998552,1.0208333333333333,0.7094483999535441,31.517803200054914,31.531735900091007,35.03068200009875,,,,,,,,,,,,,,,,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
_ru_se,cruise,old ,,,,,0,0,0,6,35.0762146001216,,,,,,,,,,,,,,,,,,,,,,,,35.049597000004724,35.0762146001216,35.0762146001216,35.0762146001216,0.03867889987304807,44.004475800087675,CRUISE,[-0.07552083333333333],[-0.31640625],[1],[0],[0],[8.947322400053963],['submit_text'],,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
k_y_,keys,old ,,,,,0,1,1,8,44.01922610006295,,,,,,,,,,,,,,,,,,,,,,,,44.00557849998586,44.01922610006295,44.01922610006295,44.01922610006295,0.0024667999241501093,47.484748899936676,KEYS,[-0.01171875],[-0.2877604166666667],[1],[0],[0],[3.4762770000379533],['submit_text'],,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
ta_l_,table,new,,,,,0,2,2,15,47.49883310007863,,,,,,,,,,,,,,,,,,,,,,,,47.48547179996967,47.49883310007863,47.49883310007863,47.49883310007863,0.0026626000180840492,50.44809839990921,TABLE,[-0.010416666666666666],[-0.3046875],[1],[0],[0],[2.959248299943283],['submit_text'],,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
l_pt_p ,laptop,old ,,,,,0,3,3,0,50.464365700026974,,,,,,,,,,,,,,,,,,,,,,,,50.4491779000964,50.464365700026974,50.464365700026974,50.464365700026974,0.003552599810063839,53.763588699977845,LAPTOP,[-0.010416666666666666],[-0.3046875],[1],[0],[0],[3.3102428999263793],['submit_text'],,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
bo_t_e,bottle,new,,,,,0,4,4,18,53.77796750003472,,,,,,,,,,,,,,,,,,,,,,,,53.76470850012265,53.77796750003472,53.77796750003472,53.77796750003472,0.0027342999819666147,57.17539640003815,BOTTLE,[-0.028645833333333332],[-0.2838541666666667],[1],[0],[0],[3.4075080999173224],['submit_text'],,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
_ho_e,phone,old ,,,,,0,5,5,12,57.18949680007063,,,,,,,,,,,,,,,,,,,,,,,,57.176281600026414,57.18949680007063,57.18949680007063,57.18949680007063,0.00344960018992424,61.07206570007838,SHOVE,[-0.022135416666666668],[-0.3059895833333333],[1],[0],[0],[3.8917936999350786],['submit_text'],,,,04AR,2024-10-25_11h55.45.039,WORD_PRIMING_EXPERIMENT_AU2220019_NUTAN_KAIN,2024.1.5,None,2024-10-25 11h56.08.961826 +0530,
